PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupTravel,FamilyTravel,TotalSpending,Deck,CabinNum,Side
0001_01,1.0,False,2.0,39.0,False,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,1.0,0.0,0.0
0002_01,0.0,False,2.0,24.0,False,109.0,9.0,25.0,549.0,44.0,True,False,False,736.0,5.0,0.0,1.0
0003_01,1.0,False,2.0,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,True,True,10383.0,0.0,0.0,1.0
0003_02,1.0,False,2.0,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,True,True,5176.0,0.0,0.0,1.0
0004_01,0.0,False,2.0,16.0,False,303.0,70.0,151.0,565.0,2.0,True,False,False,1091.0,5.0,1.0,1.0
0005_01,0.0,False,1.0,44.0,False,0.0,483.0,0.0,291.0,0.0,True,False,False,774.0,5.0,0.0,0.0
0006_01,0.0,False,2.0,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,True,True,1584.0,5.0,931.0,1.0
0006_02,0.0,True,2.0,28.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,0.0,1.0
0007_01,0.0,False,2.0,35.0,False,0.0,785.0,17.0,216.0,0.0,True,False,False,1018.0,5.0,1042.0,1.0
0008_01,1.0,True,0.0,14.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,1.0,1.0,0.0
0008_02,1.0,True,2.0,34.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,1.0,1.0,0.0
0008_03,1.0,False,0.0,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,True,True,8157.0,1.0,1.0,0.0
0009_01,2.0,False,2.0,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,False,False,1309.0,5.0,1.0,0.0
0010_01,0.0,False,2.0,48.0,False,719.0,1.0,65.0,0.0,24.0,False,False,False,809.0,6.0,1.0,1.0
0011_01,0.0,False,2.0,28.0,False,8.0,974.0,12.0,2.0,7.0,True,False,False,1003.0,5.0,931.0,0.0
0012_01,0.0,False,2.0,31.0,False,32.0,0.0,876.0,0.0,0.0,False,False,False,908.0,8.0,1817.0,2.0
0014_01,2.0,False,0.0,27.0,False,1286.0,122.0,0.0,0.0,0.0,False,False,False,1408.0,5.0,1042.0,0.0
0015_01,0.0,False,0.0,24.0,False,0.0,1.0,0.0,0.0,637.0,False,False,False,638.0,5.0,1153.0,0.0
0016_01,2.0,True,2.0,45.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,5.0,1264.0,0.0
0017_01,0.0,False,2.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,0.0,0.0
0017_02,0.0,False,0.0,14.0,False,412.0,0.0,1.0,0.0,679.0,False,True,True,1092.0,5.0,1375.0,0.0
0020_01,0.0,True,2.0,1.0,False,0.0,0.0,0.0,0.0,0.0,False,True,True,0.0,4.0,0.0,1.0
0020_02,0.0,True,0.0,49.0,False,0.0,0.0,0.0,0.0,0.0,False,True,True,0.0,4.0,0.0,1.0
0020_03,0.0,True,0.0,29.0,False,0.0,0.0,0.0,0.0,0.0,False,True,True,0.0,4.0,0.0,1.0
0020_04,0.0,False,2.0,10.0,False,0.0,0.0,0.0,0.0,0.0,True,True,False,0.0,4.0,0.0,1.0
0020_05,0.0,True,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,False,True,True,0.0,4.0,0.0,1.0
0020_06,0.0,False,2.0,7.0,False,0.0,0.0,0.0,0.0,0.0,False,True,True,0.0,4.0,0.0,1.0
0022_01,2.0,False,2.0,21.0,False,980.0,2.0,69.0,0.0,0.0,False,False,False,1051.0,3.0,0.0,0.0
0024_01,1.0,True,2.0,62.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,2.0,931.0,1.0
0025_01,0.0,False,2.0,15.0,False,0.0,225.0,0.0,998.0,0.0,False,False,False,1223.0,5.0,1375.0,1.0
0026_01,1.0,False,0.0,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,False,False,7861.0,2.0,0.0,0.0
0028_01,2.0,False,2.0,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,False,False,1309.0,5.0,1596.0,0.0
0030_01,0.0,False,2.0,32.0,False,0.0,850.0,81.0,437.0,453.0,False,False,False,1821.0,6.0,1153.0,1.0
0031_01,2.0,False,2.0,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,True,True,2854.0,5.0,1707.0,0.0
0031_02,2.0,False,2.0,2.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,5.0,1707.0,0.0
0031_03,2.0,False,2.0,20.0,False,20.0,0.0,1750.0,990.0,0.0,True,True,True,2760.0,5.0,1707.0,0.0
0034_01,1.0,True,0.0,28.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,3.0,1.0,1.0
0035_01,2.0,False,0.0,23.0,False,784.0,964.0,0.0,951.0,0.0,False,False,False,2699.0,3.0,1.0,0.0
0036_01,0.0,False,0.0,15.0,False,0.0,492.0,48.0,20.0,401.0,False,False,False,961.0,5.0,1596.0,1.0
0038_01,0.0,False,0.0,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,False,False,3355.0,5.0,2.0,1.0
0039_01,0.0,True,0.0,30.0,False,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,6.0,1.0,0.0
0041_01,0.0,True,2.0,17.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,6.0,931.0,0.0
0043_01,1.0,False,2.0,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,False,False,3575.0,1.0,1042.0,0.0
0044_01,0.0,True,2.0,55.0,False,0.0,0.0,0.0,0.0,0.0,False,True,True,0.0,6.0,1042.0,0.0
0044_02,0.0,True,0.0,4.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,1042.0,0.0
0044_03,0.0,True,1.0,21.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,1042.0,0.0
0045_01,2.0,False,2.0,21.0,False,970.0,0.0,180.0,0.0,64.0,False,True,True,1214.0,5.0,2.0,0.0
0045_02,2.0,True,2.0,19.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,5.0,2.0,0.0
0050_01,0.0,False,0.0,35.0,False,790.0,0.0,0.0,0.0,0.0,False,False,False,790.0,4.0,1.0,1.0
0051_01,0.0,False,2.0,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,False,False,1618.0,4.0,931.0,1.0
0052_01,0.0,False,2.0,56.0,False,4.0,0.0,2.0,4683.0,0.0,False,False,False,4689.0,6.0,1375.0,1.0
0053_01,0.0,False,2.0,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,False,False,1939.0,5.0,112.0,1.0
0056_01,1.0,False,2.0,2.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,1.0,1.0
0056_02,1.0,True,2.0,38.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,1.0,1.0
0056_03,1.0,False,2.0,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,True,True,4547.0,0.0,1.0,1.0
0058_01,0.0,True,1.0,36.0,False,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,6.0,1485.0,1.0
0061_01,0.0,False,2.0,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,False,False,2667.0,5.0,220.0,1.0
0062_01,0.0,False,2.0,62.0,False,0.0,592.0,0.0,17.0,25.0,False,False,False,634.0,5.0,329.0,1.0
0064_01,2.0,True,2.0,15.0,False,0.0,0.0,0.0,0.0,0.0,True,True,False,0.0,5.0,440.0,1.0
0064_02,2.0,True,2.0,33.0,False,0.0,0.0,0.0,0.0,0.0,True,True,False,0.0,4.0,1042.0,1.0
0066_01,0.0,False,2.0,62.0,False,1.0,153.0,197.0,0.0,460.0,False,False,False,811.0,6.0,1375.0,0.0
0067_01,0.0,True,1.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,2.0,1.0
0067_02,0.0,False,2.0,18.0,False,1.0,258.0,446.0,0.0,0.0,True,True,True,705.0,6.0,2.0,1.0
0067_03,0.0,False,0.0,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,True,True,2007.0,5.0,549.0,1.0
0068_01,2.0,False,2.0,38.0,False,793.0,0.0,2.0,253.0,0.0,False,False,False,1048.0,4.0,1153.0,1.0
0069_01,0.0,False,2.0,42.0,False,887.0,0.0,9.0,6.0,0.0,True,False,False,902.0,5.0,647.0,1.0
0070_01,0.0,False,2.0,19.0,False,190.0,0.0,5.0,1.0,726.0,False,False,False,922.0,5.0,329.0,0.0
0071_01,0.0,False,2.0,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,False,False,2233.0,5.0,440.0,0.0
0072_01,0.0,False,2.0,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,False,False,1064.0,5.0,749.0,1.0
0073_01,2.0,False,1.0,37.0,False,46.0,83.0,738.0,0.0,12.0,False,False,False,879.0,3.0,1042.0,0.0
0074_01,1.0,False,2.0,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,False,False,8904.0,2.0,1042.0,1.0
0076_01,2.0,False,2.0,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,False,False,1165.0,5.0,846.0,1.0
0077_01,2.0,False,2.0,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,False,False,1309.0,5.0,549.0,0.0
0078_01,1.0,False,2.0,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,False,False,15815.0,2.0,1153.0,1.0
0081_01,0.0,True,2.0,13.0,False,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,6.0,329.0,1.0
0082_01,2.0,False,2.0,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,True,True,7406.0,5.0,647.0,0.0
0082_02,2.0,True,2.0,2.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,5.0,647.0,0.0
0082_03,2.0,False,2.0,8.0,False,0.0,0.0,0.0,0.0,0.0,True,True,False,0.0,5.0,647.0,0.0
0084_01,0.0,False,2.0,24.0,False,688.0,0.0,0.0,0.0,17.0,True,False,False,705.0,6.0,440.0,1.0
0085_01,1.0,True,2.0,40.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,2.0,1264.0,1.0
0086_01,0.0,False,2.0,43.0,False,211.0,0.0,0.0,638.0,513.0,False,False,False,1362.0,5.0,749.0,0.0
0088_01,2.0,True,1.0,45.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,4.0,1264.0,1.0
0090_01,0.0,True,2.0,35.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,6.0,549.0,1.0
0091_01,0.0,True,2.0,26.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,647.0,1.0
0091_02,0.0,False,2.0,27.0,False,1.0,697.0,31.0,188.0,0.0,False,True,True,917.0,5.0,932.0,1.0
0092_01,0.0,False,2.0,19.0,False,0.0,0.0,670.0,1.0,34.0,False,True,False,705.0,6.0,1707.0,0.0
0092_02,0.0,True,2.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,1707.0,0.0
0092_03,0.0,True,2.0,3.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,1707.0,0.0
0097_01,1.0,False,2.0,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,False,False,1848.0,0.0,931.0,1.0
0098_01,0.0,False,2.0,26.0,False,0.0,856.0,5.0,32.0,0.0,False,True,True,893.0,6.0,112.0,0.0
0098_02,0.0,False,2.0,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,True,True,3855.0,6.0,112.0,0.0
0099_01,0.0,False,1.0,23.0,False,311.0,427.0,526.0,37.0,0.0,False,True,False,1301.0,5.0,920.0,0.0
0099_02,0.0,True,2.0,2.0,False,0.0,0.0,0.0,0.0,0.0,True,True,False,0.0,6.0,220.0,0.0
0101_01,2.0,True,2.0,31.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,8.0,1817.0,2.0
0102_01,0.0,False,2.0,18.0,False,0.0,0.0,0.0,830.0,91.0,False,False,False,921.0,5.0,965.0,1.0
0103_01,0.0,False,2.0,24.0,False,0.0,0.0,0.0,0.0,17.0,True,True,True,17.0,5.0,976.0,1.0
0103_02,0.0,True,0.0,9.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,846.0,1.0
0103_03,0.0,True,2.0,6.0,False,0.0,0.0,0.0,0.0,0.0,False,True,True,0.0,6.0,846.0,1.0
0105_01,0.0,False,2.0,27.0,False,0.0,0.0,570.0,2.0,131.0,False,False,False,703.0,5.0,943.0,0.0
0107_01,2.0,False,2.0,21.0,False,1743.0,5.0,17.0,0.0,0.0,False,False,False,1765.0,3.0,931.0,1.0
0108_01,0.0,True,2.0,23.0,False,0.0,0.0,0.0,0.0,0.0,False,True,True,0.0,6.0,920.0,1.0
0108_02,0.0,False,2.0,31.0,False,562.0,0.0,326.0,0.0,0.0,False,True,False,888.0,6.0,920.0,1.0
0108_03,0.0,False,2.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,6.0,920.0,1.0
0110_01,1.0,False,2.0,32.0,False,0.0,410.0,6.0,3929.0,764.0,False,True,True,5109.0,8.0,1817.0,2.0
0110_02,1.0,False,2.0,40.0,False,0.0,331.0,0.0,0.0,1687.0,False,True,False,2018.0,1.0,1264.0,0.0
0110_03,1.0,False,2.0,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True,True,True,15940.0,1.0,1264.0,0.0
0110_04,1.0,True,2.0,28.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,1.0,1264.0,0.0
0111_01,1.0,True,2.0,29.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,4.0,1375.0,1.0
0112_01,1.0,False,0.0,48.0,True,0.0,2537.0,87.0,17.0,13.0,True,False,False,2654.0,1.0,1.0,1.0
0113_01,0.0,False,2.0,64.0,False,0.0,0.0,804.0,0.0,0.0,True,False,False,804.0,5.0,965.0,0.0
0114_01,0.0,False,2.0,27.0,False,82.0,157.0,429.0,238.0,1.0,False,False,False,907.0,6.0,932.0,1.0
0115_01,2.0,False,2.0,26.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,5.0,976.0,0.0
0116_01,1.0,False,2.0,33.0,False,1.0,2223.0,0.0,12.0,404.0,True,False,False,2640.0,3.0,1153.0,0.0
0119_01,1.0,False,2.0,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False,True,True,9307.0,0.0,0.0,0.0
0119_02,1.0,True,2.0,13.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0
0120_01,2.0,True,2.0,24.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,5.0,987.0,0.0
0122_01,0.0,False,2.0,29.0,False,0.0,0.0,0.0,699.0,74.0,False,False,False,773.0,6.0,943.0,1.0
0123_01,0.0,False,2.0,18.0,False,55.0,597.0,49.0,0.0,1.0,False,False,False,702.0,5.0,1009.0,0.0
0126_01,2.0,True,2.0,67.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,5.0,1009.0,1.0
0127_01,2.0,False,2.0,35.0,False,701.0,0.0,296.0,0.0,25.0,False,False,False,1022.0,4.0,1485.0,1.0
0128_01,2.0,False,2.0,61.0,True,2353.0,334.0,9.0,316.0,2.0,False,True,True,3014.0,3.0,1042.0,1.0
0128_02,2.0,False,2.0,45.0,False,2103.0,6.0,0.0,0.0,0.0,False,True,True,2109.0,4.0,1596.0,1.0
0129_01,0.0,True,1.0,22.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,6.0,954.0,1.0
0133_01,2.0,True,2.0,19.0,False,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,5.0,1031.0,1.0
0133_02,2.0,False,2.0,36.0,False,2738.0,0.0,0.0,0.0,0.0,False,True,True,2738.0,3.0,1264.0,1.0
0134_01,0.0,False,2.0,19.0,False,0.0,14.0,730.0,0.0,0.0,True,False,False,744.0,6.0,749.0,0.0
0136_01,0.0,False,1.0,47.0,False,97.0,418.0,126.0,25.0,55.0,False,False,False,721.0,6.0,965.0,1.0
